alerta_id,codigo,tipo_cliente,regra_id,regra,enquadramento,valor_envolvido,data,prioridade,evidencia
A004073,T-82424,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",21912.95,2026-07-27,45.2,"R$ 19.810 recebidos e R$ 2.103 enviados por Pix em 30 dias — 3,5× a renda mensal declarada de R$ 6.280."
A004074,T-82424,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",21912.95,2026-07-27,45.2,"R$ 21.913 movimentados em 30 dias, contra média mensal de R$ 2.033 nos 3 meses anteriores (11× a média, com piso de R$ 200)."
A004075,T-16761,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",109086.76999999999,2026-07-27,51.7,"R$ 61.395 recebidos e R$ 47.692 enviados por Pix em 30 dias — 28,0× a renda mensal declarada de R$ 3.900."
A004076,T-16761,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",109086.76999999999,2026-07-27,51.7,"R$ 109.087 movimentados em 30 dias, contra média mensal de R$ 1.620 nos 3 meses anteriores (67× a média, com piso de R$ 200)."
A004077,T-85679,Titular (PF),R09,R09 · PEP com movimentação relevante,"IV, s",23596.53,2026-07-27,62.5,"Titular PEP movimentou R$ 23.597 em 30 dias (R$ 12.677 recebidos, R$ 10.920 enviados); renda mensal declarada de R$ 21.030."
A004080,L-23322,Estabelecimento (PJ),R05,R05 · Recebimento incompatível com o estabelecimento,"IV, w",75905.30472665955,2026-07-28,54.4,"R$ 75.905 recebidos no POS em 7 dias, 3,5× a receita semanal esperada (R$ 21.840); 4% vieram de cartões de uma mesma empresa cliente."
A004081,T-92006,Titular (PF),R01,R01 · Movimentação incompatível com a renda,"IV, a",38757.369999999995,2026-07-28,56.5,"R$ 26.253 recebidos e R$ 12.505 enviados por Pix em 30 dias — 20,2× a renda mensal declarada de R$ 1.920."
A004082,T-92006,Titular (PF),R04,R04 · Conta pouco movimentada que acorda,"IV, e",38757.369999999995,2026-07-28,56.5,"R$ 38.757 movimentados em 30 dias, contra média mensal de R$ 841 nos 3 meses anteriores (46× a média, com piso de R$ 200)."
A004083,T-92498,Titular (PF),R09,R09 · PEP com movimentação relevante,"IV, s",47120.99000000005,2026-07-28,63.3,"Titular PEP movimentou R$ 47.121 em 30 dias (R$ 31.964 recebidos, R$ 15.157 enviados); renda mensal declarada de R$ 20.990."
A004084,L-42999,Estabelecimento (PJ),R05,R05 · Recebimento incompatível com o estabelecimento,"IV, w",29071.131341271335,2026-07-29,46.7,"R$ 29.071 recebidos no POS em 7 dias, 3,1× a receita semanal esperada (R$ 9.475); 18% vieram de cartões de uma mesma empresa cliente."
